Index,Account Id,Lead Owner,First Name,Last Name,Company,Phone 1,Phone 2,Deal Stage,Notes
1,0970F99ED4a2CE4,Bethany Dixon,Victor,Cochran,"Grimes, Madden and Huff",-2237,2754733370,New Lead,Speak own such.
2,e9AABddbCA4AFee,Andres Callahan,Maureen,Fuentes,Crosby Inc,001-672-799-2170x5610,+1-887-577-1205x5686,Closed Won,Consumer environment still.
3,99CF54fE56dDc5e,Angel Ortega,Ralph,Murillo,Velasquez-Hardin,985.939.5411x2641,+1-852-904-1856x071,Contacted,Onto goal father easy development.
4,5B8C661A897ACE3,Dana Mcdonald,Richard,Obrien,Barrett Ltd,223.427.4047,(240)452-2332x4601,Proposal Sent,Medical education throughout lay.
5,2C7aEb5e8F432Ab,Sharon Cruz,Terri,Perry,Maddox Group,4953467238,802-739-3164,Closed Lost,Manager poor this speak center team first.
6,FFFDE1e612CB8CF,Sue Alexander,Terrance,Blackwell,Reynolds-Clay,-6989,+1-462-674-2959x459,On Hold,Grow blue lay morning computer.
7,17aE538dCFAb3A6,Fernando Goodwin,Jim,Mullins,Bailey-Brock,970-456-3743,661.917.5014,Disqualified,Society food wide century actually sometimes enough.
8,D4cCab38700D04f,Mikayla Alexander,Kristine,Bradshaw,Yang Group,+1-231-458-2416x972,-976,Closed Lost,Management do huge wear pattern easy.
9,7Dcbb0BFF8FE6Da,Craig Johnston,Michaela,Wiggins,Glenn-Downs,+1-899-254-7369x90482,+1-945-328-6233x75220,Qualified,Open site something which newspaper.
10,01364e70DA532bC,Ivan Duffy,Annette,Park,Hobbs Ltd,(850)241-9883x021,001-944-995-2866,Negotiation,Teach court event.
11,5B6fd4864E1A81C,Heather Bauer,Mark,Larsen,"Cannon, Lawson and Davies",(827)600-7628,-8653,Proposal Sent,Truth she chair nor.
12,a9cc727CeC3eddA,Xavier Dunn,Marcus,Norton,Lynn-Welch,5278198739,001-786-302-4675x62693,Closed Won,Left your relationship.
13,C7B91ceA84edaB4,Curtis Brewer,Jocelyn,Heath,Giles-Chen,847.687.8026,885.433.4741x3731,Closed Lost,Short piece discussion challenge return response reason.
14,96AbA0bBB972EEB,Elizabeth Dennis,Lawrence,Mclaughlin,Boyer-Simon,(944)350-3408x68054,612.337.8845x6203,Closed Won,First which enjoy clearly between reflect.
15,E4bF19FAC0B170e,Lisa Benton,Travis,Stephens,Barber-Navarro,3172541464,2596547109,Proposal Sent,Important individual student sit state soldier.
16,be85d6c4DA7dcd5,Gavin Arnold,Leslie,Mckinney,Sweeney-Leon,739.436.5698,(431)863-4727x596,Re-engagement,Suddenly one specific week manage these free.
17,BCfbdFe9B70dc62,Kelsey Copeland,Kathleen,Clark,Rosario-Arellano,001-607-512-0670x27010,431-260-0174x7443,Qualified,Star seem meet town.
